Yr#,Gm#,Date,Batter,Tm,Opp,Pitcher,Score,StSc,InnSc,Rslt,BOP,Pos,Event,SH?,Inn,RoB,Out,Pit(cnt),RBI,WPA,RE24,LI,Play Description
20,1,6/20/2021,Dylan Moore,SEA,TBR,Diego Castillo,tied 2-2,0,4,W 6-2,5,4,1B,F,b10,-2-,0,1(0-0),0,0.13,0.72,2.59,Single to P (Bunt); Trammell to 3B
21,1,6/23/2021,Juan Lagares,LAA,SFG,Zack Littell,tied 1-1,0,0,L 3-9,8,8,Out/SH,T,b10,-2-,0,3(1-1),0,0.02,-0.2,2.53,Bunt Groundout: P-2B/Sacrifice; Suzuki to 3B
22,1,7/2/2021,Shed Long Jr.,SEA,TEX,Taylor Hearn,tied 4-4,0,1,W 5-4,6,7,Out/SH,T,b10,-2-,0,1(0-0),0,0.02,-0.18,2.59,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Bauers to 3B
23,1,7/17/2021,Jean Segura,PHI,MIA,Yimi García,tied 2-2,0,2,W 4-2,1,4,Out/SH,T,b10,-2-,0,2(0-1),0,0.02,-0.18,2.57,Bunt Groundout: P-2B/Sacrifice (Front of Home); Jankowski to 3B
24,1,7/21/2021,Gleyber Torres,NYY,PHI,Ranger Suárez,tied 5-5,0,1,W 6-5,5,6,Out/SH,T,b10,-2-,0,3(1-1),0,0.02,-0.19,2.55,Bunt Groundout: P-2B/Sacrifice (Short 1B Line); Sanchez to 3B
25,1,7/28/2021,Hanser Alberto,KCR,CHW,Ryan Burr,tied 2-2,0,1,W 3-2,6,5,Out/SH,T,b10,-2-,0,1(0-0),0,0.02,-0.2,2.53,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Benintendi to 3B
26,1,8/18/2021,Andrelton Simmons,MIN,CLE,Justin Garza,tied 7-7,0,1,W 8-7,9,6,Out,F,b11,-2-,0,1(0-0),0,-0.11,-0.45,2.56,Foul Bunt Popfly: C (Behind Home)
27,1,8/23/2021,Christian Vázquez,BOS,TEX,Dennis Santana,tied 4-4,0,4,W 8-4,7,2,FC/SH,T,b11,-2-,0,2(1-0),0,0.12,0.72,2.5,Fielder's Choice /Sacrifice Bunt; Renfroe to 3B; Vázquez to 1B/Adv on E1 (throw)
28,1,8/25/2021,Lewis Brinson,MIA,WSN,Kyle Finnegan,tied 3-3,0,1,W 4-3,4,7,Out/SH,T,b10,-2-,0,1(0-0),0,0.02,-0.18,2.57,Bunt Groundout: C-1B/Sacrifice; Sánchez to 3B
29,1,8/25/2021,Trent Grisham,SDP,LAD,Phil Bickford,tied 1-1,0,0,L 3-5,1,8,Out,F,b11,-2-,0,1(0-0),0,-0.11,-0.43,2.63,Bunt Popfly: 3B (Weak 3B)
30,1,8/27/2021,Ronald Torreyes,PHI,ARI,Taylor Clarke,tied 6-6,0,1,W 7-6,9,11,FC,F,b11,-2-,0,2(0-1),0,-0.18,-0.6,2.57,Fielder's Choice ; Jankowski out at 3B/P-3B; Torreyes to 1B
